,l1,l2,l3,l4,l5,l6
0,,iniciado!,com,thresholds,individuais:,|
1,Sistema,LDRs,B2:1800,|,B3:2200,1214
2,Monitorando,|,792,1189,1458,1214
3,B1:2000,836,780,1183,1457,1216
4,1049,826,785,1185,1456,1219
5,1003,827,780,1186,1456,1220
6,1005,827,784,1185,1456,1213
7,1003,827,783,1189,1456,1215
8,1005,825,783,1178,1453,1218
9,1002,830,784,1186,1455,1219
10,1008,832,791,1188,1461,1215
11,1006,830,784,1187,1457,1215
12,1006,833,784,1185,1455,1217
13,1007,829,797,1183,1455,1200
14,1003,830,782,1188,1455,1209
15,1006,832,780,1181,1457,1135
16,1004,831,690,1098,1379,1113
17,1003,736,667,1072,1363,1105
18,854,714,666,1066,1363,1119
19,797,703,667,1078,1366,1118
20,790,707,681,1075,1374,1121
21,810,728,678,1087,1372,1119
22,817,730,688,1082,1371,1129
23,817,733,689,1088,1391,1136
24,818,737,685,1088,1381,1137
25,834,739,695,1090,1390,1149
26,832,742,742,1104,1394,1200
27,841,786,713,1121,1409,1211
28,895,762,780,1183,1455,1216
29,859,832,781,1186,1458,1212
30,992,831,784,1185,1456,1123
31,1003,828,783,1183,1456,1125
32,998,832,683,1081,1373,1125
33,998,733,677,1077,1360,1124
34,817,728,675,1079,1365,1120
35,819,727,676,1077,1375,1122
36,816,724,682,1079,1375,1119
37,816,730,685,1085,1376,1130
38,816,734,688,1089,1380,1120
39,822,736,678,1085,1377,1127
40,832,733,686,1086,1379,1122
41,815,738,675,1077,1365,1117
42,830,723,679,1079,1370,1131
43,815,720,678,1072,1365,1125
44,817,720,682,1086,1382,1133
45,803,739,690,1090,1381,1141
46,839,742,688,1097,1389,1136
47,845,746,692,1099,1387,1131
48,847,750,694,1088,1384,1125
49,848,742,701,1103,1392,1136
50,841,752,690,1091,1387,1207
51,863,747,775,1173,1456,1207
52,848,826,784,1184,1456,1210
53,976,826,781,1185,1451,1215
54,991,827,784,1179,1452,1213
55,996,824,779,1183,1456,1214
56,997,821,783,1179,1451,1213
57,999,827,780,1178,1453,1136
58,998,826,694,1097,1387,1210
59,994,741,779,1182,1451,1211
60,845,823,781,1178,1456,1210
61,983,827,784,1182,1449,1207
62,990,827,787,1181,1447,1207
63,1002,824,783,1184,1454,1206
64,996,827,784,1183,1451,1209
65,997,830,777,1170,1455,1215
66,997,827,778,1177,1455,1210
67,991,823,773,1183,1454,1136
68,996,825,684,1104,1379,1129
69,994,741,678,1082,1375,1136
70,859,727,688,1093,1379,1117
71,830,742,675,1077,1369,1125
72,838,720,681,1083,1370,1129
73,818,724,681,1078,1375,1121
74,817,738,677,1077,1369,1119
75,826,734,685,1081,1373,1125
76,825,731,685,1087,1371,1132
77,825,735,683,1092,1379,1139
78,825,739,694,1093,1388,1146
79,835,749,706,1105,1392,1200
80,847,752,775,1175,1449,1130
81,862,826,689,1087,1383,1126
82,976,733,687,1088,1379,1135
83,830,738,686,1089,1383,1136
84,836,740,688,1091,1379,1133
85,838,747,689,1087,1375,1127
86,842,735,680,1089,1375,1136
87,825,735,688,1091,1378,1136
88,823,742,695,1087,1392,1136
89,839,743,691,1090,1390,1120
90,846,747,684,1079,1371,1131
91,848,711,695,1088,1382,1132
92,817,739,688,1085,1378,1126
93,837,747,690,1090,1385,1129
94,842,741,684,1085,1376,1126
95,838,739,689,1094,1375,1122
96,831,743,685,1085,1379,1135
97,834,734,686,1087,1377,1134
98,829,738,688,1099,1385,1136
99,828,741,690,1103,1389,1135
100,833,749,693,1091,1389,1131
101,850,747,685,1088,1379,1127
102,836,742,687,1082,1379,1123
103,833,733,677,1077,1370,1207
104,831,732,685,1079,1456,1214
105,819,734,775,1185,1456,1207
106,825,829,779,1187,1453,1215
107,993,823,770,1177,1445,1214
108,995,823,780,1181,1455,1213
109,997,827,781,1183,1450,1210
110,993,826,779,1182,1455,1207
111,998,825,776,1183,1451,1208
112,995,828,784,1189,1454,1212
113,995,827,779,1178,1450,1214
114,994,827,781,1183,1455,1206
115,995,826,775,1182,1447,1118
116,993,826,777,1184,1369,1121
117,995,825,678,1082,1373,1119
118,994,729,666,1077,1373,1120
119,815,725,675,1071,1367,1120
120,810,727,675,1079,1371,1120
121,815,727,677,1072,1370,1135
122,805,727,674,1079,1378,1126
123,816,729,685,1083,1376,1125
124,817,736,687,1086,1380,1125
125,831,736,681,1079,1383,1125
126,827,735,681,1078,1381,1124
127,832,737,679,1084,1373,1126
128,822,734,688,1083,1377,1136
129,832,736,692,1089,1382,1130
130,823,739,684,1094,1376,1126
131,838,739,687,1095,1377,1129
132,841,743,688,1088,1379,1135
133,834,743,690,1090,1387,1134
134,833,746,699,1102,1393,1136
135,843,747,689,1091,1391,1133
136,847,743,691,1088,1392,1135
137,845,743,688,1088,1389,1136
138,842,746,688,1091,1387,1131
139,846,742,693,1094,1386,1136
140,843,748,690,1091,1387,1135
141,844,747,689,1095,1392,1134
142,846,747,695,1090,1388,1134
143,847,746,694,1098,1383,1136
144,848,747,697,1104,1385,1136
145,850,750,694,1104,1385,1145
146,848,747,688,1090,1383,1138
147,848,745,689,1098,1389,1138
148,835,751,690,1102,1392,1142
149,855,746,695,1103,1392,1136
150,857,747,702,1100,1392,1145
151,859,751,694,1104,1392,1139
152,857,752,690,1104,1393,1138
153,852,751,691,1094,1386,1136
154,852,743,710,1090,1387,1136
155,845,749,688,1093,1392,1136
156,842,743,688,1095,1387,1136
157,843,747,689,1093,1395,1135
158,843,743,687,1091,1392,1121
159,839,747,677,1087,1376,1122
160,847,735,685,1086,1372,1120
161,817,732,677,1081,1380,1120
162,817,729,674,1080,1381,1125
163,819,730,689,1077,1378,1123
164,819,732,674,1082,1377,1119
165,816,734,683,1082,1381,1127
166,819,733,677,1076,1381,1121
167,825,731,677,1081,1382,1123
168,822,734,688,1087,1382,1126
169,819,735,674,1078,1379,1125
170,822,734,683,1087,1378,1121
171,826,732,686,1090,1379,1126
172,822,737,682,1076,1392,1125
173,823,735,683,1080,1380,1125
174,830,736,683,1088,1383,1127
175,829,735,687,1082,1387,1125
176,828,736,688,1086,1376,1125
177,829,734,678,1085,1379,1124
178,830,735,679,1075,1379,1122
179,826,731,677,1083,1379,1125
180,817,732,688,1079,1380,1117
181,820,731,683,1084,1379,1118
182,817,734,679,1088,1378,1132
183,817,732,683,1088,1380,1129
184,817,731,686,1087,1380,1131
185,817,734,687,1088,1381,1129
186,819,735,688,1086,1387,1127
187,821,735,688,1088,1382,1121
188,823,735,687,1087,1377,1123
189,826,735,689,1072,1378,1126
190,829,737,686,1081,1378,1126
191,826,734,683,1081,1383,1126
192,821,733,681,1083,1381,1122
193,820,734,678,1085,1381,1129
194,817,734,690,1079,1370,1126
